date,nav,ret
2026-07-16,1000000,0.0
2026-07-17,1000000,0.0
2026-07-20,1000000,0.0
2026-07-21,1000000,0.0
2026-07-22,1000000,0.0
2026-07-23,1000000,0.0
2026-07-24,1000000,0.0
2026-07-27,1000000,0.0
2026-07-28,1000000,0.0
2026-07-29,1000000,0.0
2026-07-30,1000000,0.0
2026-07-31,1000000,0.0
2026-08-03,1000000,0.0
2026-08-04,1000000,0.0
2026-08-05,1000000,0.0
2026-08-06,1000000,0.0
2026-08-07,1000000,0.0
2026-08-10,1000000,0.0
2026-08-11,1000000,0.0
2026-08-12,1000000,0.0
2026-08-13,1000000,0.0
2026-08-14,1000000,0.0
