date,stock_id,chip_score,chip_label,chip_tags,chip_note,vol_ratio_5,mom5,mom20,near_high_20
2026-04-24,1109,1.0,普通,🟡接近區間高,近高比=99.35%,0.7199,-0.0065,0.0098,0.9935
2026-04-24,1210,0.0,普通,普通,,0.6652,-0.0203,-0.013,0.9637
2026-04-24,1232,1.0,普通,🟡接近區間高,近高比=98.68%,0.7995,-0.0067,-0.01,0.9868
2026-04-24,1233,0.0,普通,普通,,1.0846,-0.0305,-0.0561,0.9662
2026-04-24,1236,0.0,普通,普通,,0.4118,-0.0502,-0.0358,0.9481
2026-04-24,1301,1.0,普通,🟢中期偏強,mom20=9.97%,1.1454,-0.0599,0.0997,0.9211
2026-04-24,1303,1.0,普通,🟢中期偏強,mom20=13.03%,0.8165,-0.0205,0.1303,0.9492
2026-04-24,1326,2.0,普通,🚀中期強勢,mom20=15.17%,0.7639,-0.0324,0.1517,0.9038
2026-04-24,1337,0.0,普通,普通,,0.9873,-0.0761,-0.1721,0.7932
2026-04-24,1414,0.0,普通,普通,,1.2838,-0.003,-0.0625,0.9141
