date,stock_id,close,volume,source_type,stage,main_force_score,accumulation_score,control_score,structure_score,test_move_score,pre_breakout_score,note
2026-04-24,1101,24.45,28226546,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1102,35.9,6684786,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1103,13.55,106740,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1104,28.6,1151131,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1108,14.55,140185,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1109,15.4,143791,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1110,14.95,303335,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1201,12.9,569478,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1203,44.1,14069,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1210,53.1,2082441,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1213,9.03,23000,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1215,140.0,1171758,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1216,71.5,11246243,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1217,10.05,1069297,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1218,18.8,461758,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1219,13.6,329111,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1220,12.45,57393,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1225,31.5,133516,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1227,29.2,976520,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1229,42.5,4230131,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1231,86.9,487718,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1232,149.0,80005,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1233,28.6,19207,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1234,35.45,119578,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1235,44.9,5076,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1236,25.55,31153,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1256,158.0,24717,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1301,50.2,26002768,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1303,85.9,55039883,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,1304,14.4,14575933,latest_price_panel_stock_snapshot,,,,,,,,
