stock_id,stock_name,close,volume,turnover,date,liquidity_level,liquidity_tag,liquidity_score
1101,台泥,24.5,21216.965,519815642.5,2026-04-30,HIGH,高流動性,91.3
1102,亞泥,35.05,11874.662,416206903.1,2026-04-30,HIGH,高流動性,89.26
1103,嘉泥,13.45,195.326,2627134.6999999997,2026-04-30,BLOCK,流動性不足,34.35
1104,環泥,28.35,530.424,15037520.399999999,2026-04-30,MEDIUM,中流動性,55.73
1108,幸福,14.55,86.528,1258982.4000000001,2026-04-30,BLOCK,流動性不足,23.28
1109,信大,15.45,140.092,2164421.4000000004,2026-04-30,BLOCK,流動性不足,30.43
1110,東泥,15.4,250.065,3851001.0,2026-04-30,BLOCK,流動性不足,39.39
1201,味全,12.5,367.072,4588400.0,2026-04-30,BLOCK,流動性不足,43.84
1203,味王,43.6,23.513,1025166.8000000002,2026-04-30,BLOCK,流動性不足,13.08
1210,大成,53.4,1675.829,89489268.6,2026-04-30,HIGH,高流動性,73.72
1213,大飲,9.03,6.005,54225.149999999994,2026-04-30,BLOCK,流動性不足,2.32
1215,卜蜂,138.5,1251.91,173389535.0,2026-04-30,HIGH,高流動性,74.89
1216,統一,69.3,14125.978,978930275.4,2026-04-30,HIGH,高流動性,92.34
1217,愛之味,9.9,699.903,6929039.7,2026-04-30,MEDIUM,中流動性,51.86
1218,泰山,18.95,458.064,8680312.799999999,2026-04-30,MEDIUM,中流動性,50.36
1219,福壽,13.5,215.198,2905173.0,2026-04-30,BLOCK,流動性不足,35.8
1220,台榮,12.5,74.738,934225.0,2026-04-30,BLOCK,流動性不足,19.95
1225,福懋油,32.0,150.724,4823168.0,2026-04-30,BLOCK,流動性不足,36.79
1227,佳格,28.95,1248.501,36144103.949999996,2026-04-30,MEDIUM,中流動性,67.25
1229,聯華,41.3,3003.24,124033811.99999997,2026-04-30,HIGH,高流動性,77.94
1231,聯華食,86.8,249.24,21634032.0,2026-04-30,MEDIUM,中流動性,51.2
1232,大統益,148.5,63.979,9500881.5,2026-04-30,BLOCK,流動性不足,34.81
1233,天仁,28.75,39.067,1123176.25,2026-04-30,BLOCK,流動性不足,16.64
1234,黑松,35.25,125.747,4432581.75,2026-04-30,BLOCK,流動性不足,34.73
1235,興泰,42.2,27.296,1151891.2,2026-04-30,BLOCK,流動性不足,14.55
1236,宏亞,25.75,39.138,1007803.5,2026-04-30,BLOCK,流動性不足,16.03
1240,茂生農經,59.6,19.792,1179603.2,2026-04-30,BLOCK,流動性不足,13.1
1256,鮮活果汁-KY,161.5,24.189,3906523.5,2026-04-30,BLOCK,流動性不足,22.37
1259,安心,57.6,2.13,122688.0,2026-04-30,BLOCK,流動性不足,2.21
1264,德麥,273.5,11.331,3099028.5,2026-04-30,BLOCK,流動性不足,17.91
1268,漢來美食,155.0,11.192,1734760.0,2026-04-30,BLOCK,流動性不足,13.89
1294,漢田生技,79.6,34.12,2715952.0,2026-04-30,BLOCK,流動性不足,21.7
1295,生合,55.0,209.908,11544939.999999998,2026-04-30,MEDIUM,中流動性,45.55
1301,台塑,51.5,20701.677,1066136365.5000001,2026-04-30,HIGH,高流動性,93.33
1303,南亞,89.6,101531.762,9097245875.199999,2026-04-30,HIGH,高流動性,99.13
1304,台聚,14.35,12389.103,177783628.04999998,2026-04-30,HIGH,高流動性,85.9
1305,華夏,14.85,9282.896,137851005.6,2026-04-30,HIGH,高流動性,83.54
1307,三芳,31.7,1021.18,32371406.0,2026-04-30,MEDIUM,中流動性,65.37
1308,亞聚,15.05,6074.945,91427922.25,2026-04-30,HIGH,高流動性,80.56
1309,台達化,20.8,24559.783,510843486.4,2026-04-30,HIGH,高流動性,91.42
1310,台苯,9.5,3902.363,37072448.5,2026-04-30,HIGH,高流動性,74.05
