signal_date,trade_date,action,action_label,action_sub,raw_action,stock_id,price_tier,target_weight,ref_price,suggested_amount,entry_score,stage,prev_action,prev_entry_score,prev_trade_date,note,detail_note
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,01004T,lt_50,0.0,10.8208,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,02001L,p100_300,0.0,104.3542,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,020020,lt_50,0.0,22.1421,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,020028,lt_50,0.0,17.5075,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,020030,lt_50,0.0,15.6957,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,020031,lt_50,0.0,8.5586,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,020039,lt_50,0.0,12.6226,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,030012,lt_50,0.0,0.5606,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,03003T,lt_50,0.0,0.7007,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
2026-04-27,2026-04-28,READY,🟡 準備,等待方向,READY,030040,lt_50,0.0,6.5065,0.0,40,未分類,,,,準備觀察｜分數40｜保底候選，不追高,保底候選｜避免今日清單空白
