stock_id,stock_name
1268,漢來美食
2061,風青
2317,鴻海
2330,台積電
2409,友達
2732,六角
3051,力特
3213,茂訊
3276,宇環
3303,岱稜
3374,精材
3402,漢科
3441,聯一光
3527,聚積
3567,逸昌
3570,大塚
3580,友威科
3583,辛耘
3666,光耀
3709,鑫聯大投控
4111,濟生
4127,天良
4502,健信
4503,金雨
4721,美琪瑪
4749,新應材
4760,勤凱
4966,譜瑞-KY
4995,晶達
5009,榮剛
5210,寶碩
5263,智崴
5410,國眾
5425,台半
5474,聰泰
5523,豐謙
6015,宏遠證
6020,大展證
6021,美好證
6026,福邦證
6121,新普
6161,捷波
6203,海韻電
6227,茂綸
6237,驊訊
6263,普萊德
6279,胡連
6417,韋僑
6474,華豫寧
6498,久禾光
6570,維田
6613,朋億*
6651,全宇昕
6679,鈺太
6716,應廣
6727,亞泰金屬
6811,宏碁資訊
6844,諾貝兒
6859,伯特光
6874,倍力
6903,巨漢
6961,旅天下
7712,博盛半導體
8272,全景軟體
8455,大拓-KY
9951,皇田
