final_action,stock_id,stock_name,source,bucket,strategy_type,score,entry_type,execution_flag,allowed,close,suggested_amount,target_weight,priority,reason,system_note,opportunity_score,opportunity_rank,top_opportunity,liquidity_level,liquidity_tag,liquidity_score,volume,turnover,chip_score,chip_label,chip_display,chip_reason,chip_hint,chip_valid_count,chip_missing,chip_confidence,section_opportunity_rank,section_top_opportunity
TEST,3707,漢磊,ENTRY,CORE,CORE,80.0,BREAK,TOP,True,66.27,20000,0.02,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,TOP + timing 合格：允許分批｜全清單 TOP1：優先觀察發動機會｜試單清單 TOP1：本區最可能發動,138.62,1,TOP1,HIGH,高流動性,96.07,33317240.0,2205601288000.0,,,,,,,,,1,試單TOP1
TEST,3707,漢磊,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,66.2,10000.0,0.01,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP1：優先觀察發動機會｜試單清單 TOP1：本區最可能發動,130.52,1,TOP1,HIGH,高流動性,96.07,33317240.0,2205601288000.0,,,,,,,,,1,試單TOP1
TEST,2467,志聖,ENTRY,CORE,CORE,80.0,BREAK,BLOCK,False,609.61,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：超出本市場狀態可執行名額｜大盤中性 -0.18%：BUY 降級 TEST，控制追高｜全清單 TOP2：優先觀察發動機會｜試單清單 TOP2：本區最可能發動,137.34,2,TOP2,HIGH,高流動性,92.4,5898109.0,3591948381000.0,,,,,,,,,2,試單TOP2
TEST,2467,志聖,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,609.0,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP2：優先觀察發動機會｜試單清單 TOP2：本區最可能發動,129.24,2,TOP2,HIGH,高流動性,92.4,5898109.0,3591948381000.0,,,,,,,,,2,試單TOP2
TEST,6207,雷科,ENTRY,CORE,CORE,80.0,BREAK,WATCH,False,64.56,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,WATCH：保留觀察，不下單｜大盤中性 -0.18%：BUY 降級 TEST，控制追高｜全清單 TOP3：優先觀察發動機會｜試單清單 TOP3：本區最可能發動,137.28,3,TOP3,HIGH,高流動性,92.24,14952808.0,964456116000.0,,,,,,,,,3,試單TOP3
TEST,6207,雷科,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,64.5,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP3：優先觀察發動機會｜試單清單 TOP3：本區最可能發動,129.18,3,TOP3,HIGH,高流動性,92.24,14952808.0,964456116000.0,,,,,,,,,3,試單TOP3
TEST,2233,宇隆,ENTRY,CORE,CORE,80.0,BREAK,TOP,True,300.3,20000,0.02,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,TOP + timing 合格：允許分批｜大盤中性 -0.18%：BUY 降級 TEST，控制追高｜全清單 TOP4：優先觀察發動機會｜試單清單 TOP4：本區最可能發動,136.94,4,TOP4,HIGH,高流動性,91.26,6174279.0,1852283700000.0,,,,,,,,,4,試單TOP4
TEST,2233,宇隆,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,300.0,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP4：優先觀察發動機會｜試單清單 TOP4：本區最可能發動,128.84,4,TOP4,HIGH,高流動性,91.26,6174279.0,1852283700000.0,,,,,,,,,4,試單TOP4
TEST,8996,高力,ENTRY,CORE,CORE,80.0,BREAK,BLOCK,False,1251.25,10000.0,0.01,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：超出本市場狀態可執行名額｜全清單 TOP5：優先觀察發動機會｜試單清單 TOP5：本區最可能發動,136.66,5,TOP5,HIGH,高流動性,90.46,3576601.0,4470751250000.0,,,,,,,,,5,試單TOP5
TEST,8996,高力,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,1250.0,10000.0,0.01,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP5：優先觀察發動機會｜試單清單 TOP5：本區最可能發動,128.56,5,TOP5,HIGH,高流動性,90.46,3576601.0,4470751250000.0,,,,,,,,,5,試單TOP5
WATCH,6239,力成,ENTRY,PRE,PRE,62.0,WAIT,BLOCK,False,203.0,0.0,0.0,8,安靜吸籌 | 洗盤收回 | 均線收斂 | 放量吸收,BLOCK：超出本市場狀態可執行名額｜觀察清單 TOP1：本區最可能發動,115.15,,,HIGH,高流動性,97.28,26149433.0,5308334899000.0,,,,,,,,,1,觀察TOP1
WATCH,5392,能率,ENTRY,PRE,PRE,62.0,WAIT,BLOCK,False,40.15,0.0,0.0,8,安靜吸籌 | 均線收斂 | 放量吸收 | 接近突破,BLOCK：超出本市場狀態可執行名額｜觀察清單 TOP2：本區最可能發動,111.22,,,HIGH,高流動性,86.06,7036899.0,282531494849.99994,,,,,,,,,2,觀察TOP2
