signal_date,trade_date,action,action_label,action_sub,stock_id,price_tier,ref_price,target_weight,suggested_amount,suggested_shares,estimated_total_cost,entry_score,trend_score,volume_score,structure_score,confirm_score,source,note
2026-08-25,2026-08-26,BUY,🟢 買進,可分批進場,2882,100-300,103.103,0.02,20000.0,193.98,20030.0,95.0,28.0,25.0,22.0,20.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,BUY,🟢 買進,可分批進場,4569,100-300,165.165,0.02,20000.0,121.09,20030.0,91.0,28.0,25.0,25.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,BUY,🟢 買進,可分批進場,2476,100-300,120.6205,0.02,20000.0,165.81,20030.0,88.0,28.0,25.0,25.0,10.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,BUY,🟢 買進,可分批進場,1563,50-100,65.1651,0.02,20000.0,306.91,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,BUY,🟢 買進,可分批進場,1710,50以下,15.9159,0.02,20000.0,1256.61,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,BUY,🟢 買進,可分批進場,3530,50-100,59.4594,0.02,20000.0,336.36,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,BUY,🟢 買進,可分批進場,6756,100-300,102.102,0.02,20000.0,195.88,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,BUY,🟢 買進,可分批進場,4934,50以下,14.3143,0.02,20000.0,1397.2,20030.0,85.0,25.0,25.0,25.0,10.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,TEST,🟠 試單,小倉測試,3013,50-100,85.1851,0.005,5000.0,58.7,5007.5,82.0,28.0,9.0,25.0,20.0,V265_CLEAN,趨勢轉強｜量能正常｜結構收斂｜KD/MACD確認
2026-08-25,2026-08-26,TEST,🟠 試單,小倉測試,3051,50以下,22.9729,0.005,5000.0,217.65,5007.5,82.0,28.0,9.0,25.0,20.0,V265_CLEAN,趨勢轉強｜量能正常｜結構收斂｜KD/MACD確認
