stock_id,stock_name
1101,台泥
1102,亞泥
1104,環泥
1225,福懋油
1235,興泰
1236,宏亞
1301,台塑
1303,南亞
1304,台聚
1305,華夏
1308,亞聚
1309,台達化
1310,台苯
1312,國喬
1313,聯成
1314,中石化
1326,台化
1409,新纖
1419,新紡
1434,福懋
1436,華友聯
1440,南紡
1455,集盛
1456,怡華
1459,聯發
1465,偉全
1503,士電
1504,東元
1514,亞力
1519,華城
1532,勤美
1540,喬福
1558,伸興
1560,中砂
1582,信錦
1597,直得
1608,華榮
1617,榮星
1711,永光
1713,國化
1714,和桐
1717,長興
1718,中纖
1721,三晃
1727,中華化
1735,日勝化
1773,勝一
1802,台玻
1808,潤隆
1905,華紙
2008,高興昌
2034,允強
2103,台橡
2107,厚生
2108,南帝
2201,裕隆
2204,中華
2239,英利-KY
2243,宏旭-KY
2247,汎德永業
2254,巨鎧精密-創
2301,光寶科
2303,聯電
2305,全友
2308,台達電
2312,金寶
2313,華通
2316,楠梓電
2317,鴻海
2328,廣宇
2330,台積電
2340,台亞
2351,順德
2353,宏碁
2354,鴻準
2355,敬鵬
2357,華碩
2367,燿華
2368,金像電
2371,大同
2379,瑞昱
2382,廣達
2392,正崴
2395,研華
2402,毅嘉
2409,友達
2419,仲琦
2421,建準
2430,燦坤
2434,統懋
2449,京元電子
2454,聯發科
2455,全新
2462,良得電
2465,麗臺
2467,志聖
2471,資通
2474,可成
2476,鉅祥
2477,美隆電
2481,強茂
2485,兆赫
2486,一詮
2492,華新科
2498,宏達電
2509,全坤建
2530,華建
2537,聯上發
2597,潤弘
2607,榮運
2637,慧洋-KY
2702,華園
2723,美食-KY
3006,晶豪科
3013,晟銘電
3017,奇鋐
3019,亞光
3024,憶聲
3029,零壹
3030,德律
3035,智原
3044,健鼎
3045,台灣大
3051,力特
3054,立萬利
3055,蔚華科
3057,喬鼎
3090,日電貿
3094,聯傑
3167,大量
3305,昇貿
3338,泰碩
3376,新日興
3380,明泰
3447,展達
3504,揚明光
3515,華擎
3518,柏騰
3532,台勝科
3563,牧德
3576,聯合再生
3583,辛耘
3591,艾笛森
3605,宏致
3645,達邁
3653,健策
3661,世芯-KY
3665,貿聯-KY
3673,TPK-KY
3706,神達
3711,日月光投控
3712,永崴投控
3714,富采
3715,定穎投控
4108,懷特
4119,旭富
4190,佐登-KY
4551,智伸科
4569,六方科-KY
4572,駐龍
4576,大銀微系統
4755,三福化
4764,雙鍵
4766,南寶
4770,上品
4771,望隼
4906,正文
4912,聯德控股-KY
4927,泰鼎-KY
4949,有成精密
4956,光鋐
4958,臻鼎-KY
4961,天鈺
4977,眾達-KY
5243,乙盛-KY
5244,弘凱
5269,祥碩
5284,jpp-KY
5285,界霖
5292,華懋
5471,松翰
6005,群益證
6024,群益期
6117,迎廣
6133,金橋
6153,嘉聯益
6164,華興
6165,浪凡
6197,佳必琪
6205,詮欣
6209,今國光
6214,精誠
6224,聚鼎
6235,華孚
6239,力成
6257,矽格
6269,台郡
6271,同欣電
6272,驊陞
6278,台表科
6285,啟碁
6438,迅得
6442,光聖
6451,訊芯-KY
6456,GIS-KY
6491,晶碩
6505,台塑化
6515,穎崴
6526,達發
6531,愛普*
6533,晶心科
6657,華安
6658,聯策
6668,中揚光
6669,緯穎
6670,復盛應用
6706,惠特
6742,澤米
6743,安普新
6756,威鋒電子
6781,AES-KY
6782,視陽
6789,采鈺
6794,向榮生技
6830,汎銓
6854,錼創科技-KY創
6885,全福生技
6906,現觀科
6918,愛派司
6934,心誠鎂
6937,天虹
6962,奕力-KY
7768,頌勝科技
7822,倍利科
8021,尖點
8150,南茂
8201,無敵
8213,志超
8215,明基材
8438,昶昕
8473,山林水
9105,泰金寶-DR
9907,統一實
