stock_id,strategy_lane,entry_type,entry_note,timing_score,close,ma5,ma10,ma20,ma60,atr20_pct,mom5,mom20,volume_ratio20,ma_compression,near_20d_high,pullback_to_ma20,reversal_signal,breakout_signal,trigger_event_score_v26662,trigger_event_reason_v26662,trigger_event_label_v26662,trigger_action_hint_v26662,trigger_adjusted_score_v26662,trigger_rank_v26662,trigger_patch_version,trigger_updated_at,first_trigger_score_v26663,first_trigger_reason_v26663,first_trigger_label_v26663,first_trigger_rank_v26663,turn_event_score_v26664_1,turn_event_label_v26664_1,turn_event_reason_v26664_1,turn_first_rank_v26664_1
6263,ALPHA,WAIT,ALPHA 時機未明，先觀察,10,153.0,153.0,153.0,145.38,130.55,0.0624,0.0,0.2,1.4701,0.0498,True,False,False,True,0.0,,無事件,等待下一次確認。,0.0,37,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,26,20,NONE,MA20剛站回,1
4933,PRE,WAIT,PRE 條件未完整，僅保留觀察,35,69.1,69.1,69.1,65.23,60.49,0.0376,0.0,0.144,1.2654,0.056,False,False,False,False,0.0,,無事件,等待下一次確認。,0.0,485,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,2,20,NONE,MA20剛站回,2
2015,PRE,WAIT,PRE 佈局型：等待突破確認，小倉觀察，不主動重倉,100,62.5,61.66,61.51,62.36,64.97,0.017,0.0163,0.0081,1.1742,0.0124,True,True,False,False,0.0,,無事件,等待下一次確認。,0.0,56,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,42,20,NONE,MA20剛站回,3
4760,PRE,WAIT,PRE 條件未完整，僅保留觀察,0,287.5,287.5,287.5,273.4,217.32,0.0743,0.0,0.1364,1.6385,0.049,True,False,False,True,0.0,,無事件,等待下一次確認。,0.0,471,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,16,20,NONE,MA20剛站回,4
2404,PRE,WAIT,PRE 條件未完整，僅保留觀察,30,1015.0,979.8,980.1,964.0,958.97,0.0412,0.0475,0.1871,1.5115,0.0157,False,False,False,False,0.0,,無事件,等待下一次確認。,0.0,483,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,4,20,NONE,MA20剛站回,5
2421,PRE,WAIT,PRE 條件未完整，僅保留觀察,30,149.0,148.0,145.95,143.82,142.21,0.0391,0.042,0.192,2.6093,0.0211,False,False,False,False,0.0,,無事件,等待下一次確認。,0.0,482,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,5,20,NONE,MA20剛站回,6
6282,PRE,WAIT,PRE 條件未完整，僅保留觀察,30,50.4,49.08,48.6,48.6,48.32,0.0599,0.0566,0.1803,1.8092,0.0048,False,False,False,False,0.0,,無事件,等待下一次確認。,0.0,479,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,8,20,NONE,MA20剛站回,7
6246,PRE,WAIT,PRE 條件未完整，僅保留觀察,55,16.95,16.95,16.95,16.56,15.42,0.0524,0.0,0.003,1.5777,0.0233,False,True,False,False,0.0,,無事件,等待下一次確認。,0.0,460,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,31,20,NONE,MA20剛站回,8
7642,PRE,WAIT,PRE 條件未完整，僅保留觀察,55,73.4,73.4,73.4,72.4,74.88,0.0369,0.0,0.0041,1.5903,0.0136,False,True,False,False,0.0,,無事件,等待下一次確認。,0.0,457,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,34,20,NONE,MA20剛站回,9
8091,PRE,WAIT,PRE 條件未完整，僅保留觀察,55,191.0,191.0,191.0,186.93,157.83,0.0469,0.0,0.0437,0.7445,0.0213,False,True,False,False,0.0,,無事件,等待下一次確認。,0.0,456,v266.62,2026-05-09 00:25:51,10.0,第一次站上MA20,NONE,35,20,NONE,MA20剛站回,10
