final_action,stock_id,stock_name,source,bucket,strategy_type,score,entry_type,execution_flag,allowed,close,suggested_amount,target_weight,priority,reason,system_note,opportunity_score,opportunity_rank,top_opportunity,liquidity_level,liquidity_tag,liquidity_score,volume,turnover,chip_score,chip_label,chip_display,chip_reason,chip_hint,chip_valid_count,chip_missing,chip_confidence,section_opportunity_rank,section_top_opportunity
TEST,5443,均豪,ENTRY,CORE,CORE,80.0,BREAK,WATCH,False,129.63,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,WATCH：保留觀察，不下單｜大盤中性 0.00%：BUY 降級 TEST，控制追高｜全清單 TOP1：優先觀察發動機會｜試單清單 TOP1：本區最可能發動,139.45,1,TOP1,HIGH,高流動性,98.44,25241271.0,3268744594500.0,,,,,,,,,1,試單TOP1
TEST,5443,均豪,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,129.5,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP1：優先觀察發動機會｜試單清單 TOP1：本區最可能發動,131.35,1,TOP1,HIGH,高流動性,98.44,25241271.0,3268744594500.0,,,,,,,,,1,試單TOP1
TEST,3707,漢磊,ENTRY,CORE,CORE,80.0,BREAK,WATCH,False,66.27,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,WATCH：保留觀察，不下單｜大盤中性 0.00%：BUY 降級 TEST，控制追高｜全清單 TOP2：優先觀察發動機會｜試單清單 TOP2：本區最可能發動,139.27,2,TOP2,HIGH,高流動性,97.92,33317240.0,2205601288000.0,,,,,,,,,2,試單TOP2
TEST,3707,漢磊,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,66.2,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP2：優先觀察發動機會｜試單清單 TOP2：本區最可能發動,131.17,2,TOP2,HIGH,高流動性,97.92,33317240.0,2205601288000.0,,,,,,,,,2,試單TOP2
TEST,3680,家登,ENTRY,CORE,CORE,80.0,BREAK,TOP,True,537.54,20000,0.02,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,TOP + timing 合格：允許分批｜大盤中性 0.00%：BUY 降級 TEST，控制追高｜全清單 TOP3：優先觀察發動機會｜試單清單 TOP3：本區最可能發動,139.21,3,TOP3,HIGH,高流動性,97.75,8314647.0,4464965439000.0,,,,,,,,,3,試單TOP3
TEST,3680,家登,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,537.0,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP3：優先觀察發動機會｜試單清單 TOP3：本區最可能發動,131.11,3,TOP3,HIGH,高流動性,97.75,8314647.0,4464965439000.0,,,,,,,,,3,試單TOP3
TEST,6207,雷科,ENTRY,CORE,CORE,80.0,BREAK,WATCH,False,64.56,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,WATCH：保留觀察，不下單｜大盤中性 0.00%：BUY 降級 TEST，控制追高｜全清單 TOP4：優先觀察發動機會｜試單清單 TOP4：本區最可能發動,138.62,4,TOP4,HIGH,高流動性,96.07,14952808.0,964456116000.0,,,,,,,,,4,試單TOP4
TEST,6207,雷科,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,64.5,30000.0,0.03,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP4：優先觀察發動機會｜試單清單 TOP4：本區最可能發動,130.52,4,TOP4,HIGH,高流動性,96.07,14952808.0,964456116000.0,,,,,,,,,4,試單TOP4
TEST,3088,艾訊,ENTRY,CORE,CORE,80.0,BREAK,TOP,True,108.11,20000,0.02,3,CORE早期卡位｜剛轉強｜靠近MA20｜量能回溫｜高流動性,TOP + timing 合格：允許分批｜大盤中性 0.00%：BUY 降級 TEST，控制追高｜全清單 TOP5：優先觀察發動機會｜試單清單 TOP5：本區最可能發動,136.79,5,TOP5,HIGH,高流動性,90.82,3588158.0,387521064000.0,,,,,,,,,5,試單TOP5
TEST,3088,艾訊,ENTRY,ALPHA,ALPHA,58.0,BREAK,BLOCK,False,108.0,12000.0,0.012,3,ALPHA高流動性強勢延續｜成交量/成交金額優先｜突破/趨勢確認｜高流動性,BLOCK：同股已由高優先桶接管｜全清單 TOP5：優先觀察發動機會｜試單清單 TOP5：本區最可能發動,128.69,5,TOP5,HIGH,高流動性,90.82,3588158.0,387521064000.0,,,,,,,,,5,試單TOP5
WATCH,6239,力成,ENTRY,PRE,PRE,62.0,WAIT,BLOCK,False,203.0,0.0,0.0,8,安靜吸籌 | 洗盤收回 | 均線收斂 | 放量吸收,BLOCK：超出本市場狀態可執行名額｜觀察清單 TOP1：本區最可能發動,115.15,,,HIGH,高流動性,97.28,26149433.0,5308334899000.0,,,,,,,,,1,觀察TOP1
