signal_date,trade_date,action,action_label,action_sub,stock_id,price_tier,ref_price,target_weight,suggested_amount,suggested_shares,estimated_total_cost,entry_score,trend_score,volume_score,structure_score,confirm_score,source,note
2026-09-03,2026-09-04,BUY,🟢 買進,可分批進場,2520,50以下,36.9369,0.02,20000.0,541.46,20030.0,95.0,28.0,25.0,22.0,20.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,BUY,🟢 買進,可分批進場,2542,50以下,48.6986,0.02,20000.0,410.69,20030.0,95.0,28.0,25.0,22.0,20.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,BUY,🟢 買進,可分批進場,4306,50以下,15.2652,0.02,20000.0,1310.17,20030.0,91.0,28.0,25.0,25.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,BUY,🟢 買進,可分批進場,2606,50-100,78.2782,0.02,20000.0,255.5,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,BUY,🟢 買進,可分批進場,2617,50以下,32.3323,0.02,20000.0,618.58,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,BUY,🟢 買進,可分批進場,3045,100-300,118.118,0.02,20000.0,169.32,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,BUY,🟢 買進,可分批進場,5607,50-100,57.2572,0.02,20000.0,349.3,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,BUY,🟢 買進,可分批進場,6177,50以下,48.7987,0.02,20000.0,409.85,20030.0,88.0,28.0,25.0,22.0,13.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,TEST,🟠 試單,小倉測試,1402,50以下,29.1291,0.005,5000.0,171.65,5007.5,75.0,28.0,9.0,25.0,13.0,V265_CLEAN,趨勢轉強｜量能正常｜結構收斂｜KD/MACD確認
2026-09-03,2026-09-04,TEST,🟠 試單,小倉測試,1434,50以下,18.1181,0.005,5000.0,275.97,5007.5,73.0,28.0,17.0,22.0,6.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜指標初轉強
2026-09-03,2026-09-04,TEST,🟠 試單,小倉測試,2430,50以下,17.8178,0.005,5000.0,280.62,5007.5,73.0,28.0,17.0,22.0,6.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜指標初轉強
2026-09-03,2026-09-04,TEST,🟠 試單,小倉測試,2471,50-100,50.05,0.005,5000.0,99.9,5007.5,73.0,28.0,17.0,22.0,6.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜指標初轉強
2026-09-03,2026-09-04,TEST,🟠 試單,小倉測試,2702,50以下,12.7127,0.005,5000.0,393.31,5007.5,73.0,28.0,17.0,22.0,6.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜指標初轉強
2026-09-03,2026-09-04,TEST,🟠 試單,小倉測試,2881,100-300,147.147,0.005,5000.0,33.98,5007.5,73.0,28.0,17.0,22.0,6.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜指標初轉強
2026-09-03,2026-09-04,TEST,🟠 試單,小倉測試,2885,50-100,68.5685,0.005,5000.0,72.92,5007.5,73.0,28.0,20.0,22.0,3.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂
2026-09-03,2026-09-04,TEST,🟠 試單,小倉測試,6235,50以下,39.4894,0.005,5000.0,126.62,5007.5,73.0,28.0,17.0,22.0,6.0,V265_CLEAN,趨勢轉強｜量能回溫｜結構收斂｜指標初轉強
