signal_date,trade_date,action,action_label,action_sub,raw_action,stock_id,price_tier,target_weight,ref_price,suggested_amount,entry_score,stage,prev_action,prev_entry_score,prev_trade_date,note,detail_note
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1101,lt_50,0.03,24.4744,30000.0,52,弱觀察,,,,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1102,lt_50,0.03,35.9359,30000.0,52,弱觀察,,,,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1103,lt_50,0.03,13.5635,30000.0,52,弱觀察,,,,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1104,lt_50,0.03,28.6286,30000.0,52,弱觀察,,,,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1108,lt_50,0.03,14.5645,30000.0,52,弱觀察,,,,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1109,lt_50,0.03,15.4154,30000.0,52,弱觀察,READY,40,2026-04-28,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1110,lt_50,0.03,14.9649,30000.0,52,弱觀察,,,,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1201,lt_50,0.03,12.9129,30000.0,52,弱觀察,,,,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1203,lt_50,0.03,44.1441,30000.0,52,弱觀察,,,,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,BUY,🟢 買進,主升啟動,BUY,1210,p50_100,0.03,53.1531,30000.0,52,弱觀察,READY,40,2026-04-28,突破確認｜分數52｜可分批進場,主升發動；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1213,lt_50,0.0105,9.039,10500.0,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1215,p100_300,0.0105,140.14,10500.0,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1216,p50_100,0.0105,71.5715,10500.0,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1217,lt_50,0.0105,10.0601,10500.0,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1218,lt_50,0.0251,18.8188,25083.33,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1219,lt_50,0.0251,13.6136,25083.33,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1220,lt_50,0.0251,12.4624,25083.33,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1225,lt_50,0.0251,31.5315,25083.33,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1227,lt_50,0.0251,29.2292,25083.33,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1229,lt_50,0.0251,42.5425,25083.33,54,弱觀察,,,,試單候選｜分數54｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1231,p50_100,0.0105,86.9869,10500.0,52,弱觀察,,,,試單候選｜分數52｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1232,p100_300,0.0105,149.149,10500.0,52,弱觀察,READY,40,2026-04-28,試單候選｜分數52｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1233,lt_50,0.0105,28.6286,10500.0,52,弱觀察,READY,40,2026-04-28,試單候選｜分數52｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1234,lt_50,0.0105,35.4855,10500.0,52,弱觀察,,,,試單候選｜分數52｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
2026-04-24,2026-04-27,TEST,🟠 試盤,可能準備拉,TEST,1235,lt_50,0.0105,44.9449,10500.0,52,弱觀察,,,,試單候選｜分數52｜先小倉，隔日確認,試盤候選；貼近MA20；均線靠攏；5日動能未破壞；20日動能中性；量能配合；接近20日高；候選池排序加分
