date,twse_ok,tpex_ok,twse_rows,tpex_rows,total_rows
2026-01-09,True,True,262,0,262
2026-01-10,True,True,0,0,0
2026-01-11,True,True,0,0,0
2026-01-12,True,True,263,0,263
2026-01-13,True,True,263,0,263
2026-01-14,True,True,263,0,263
2026-01-15,True,True,264,0,264
2026-01-16,True,True,263,0,263
2026-01-17,True,True,0,0,0
2026-01-18,True,True,0,0,0
2026-01-19,True,True,263,0,263
2026-01-20,True,True,263,0,263
2026-01-21,True,True,264,0,264
2026-01-22,True,True,264,0,264
2026-01-23,True,True,262,0,262
2026-01-24,True,True,0,0,0
2026-01-25,True,True,0,0,0
2026-01-26,True,True,264,0,264
2026-01-27,True,True,263,0,263
2026-01-28,True,True,263,0,263
2026-01-29,True,True,264,0,264
2026-01-30,True,True,263,0,263
2026-01-31,True,True,0,0,0
2026-02-01,True,True,0,0,0
2026-02-02,True,True,263,0,263
2026-02-03,True,True,264,0,264
2026-02-04,True,True,0,0,0
2026-02-05,True,True,262,0,262
2026-02-06,True,True,263,0,263
2026-02-07,True,True,0,0,0
2026-02-08,True,True,0,0,0
2026-02-09,True,True,261,0,261
2026-02-10,True,True,264,0,264
2026-02-11,True,True,264,0,264
2026-02-12,True,True,0,0,0
2026-02-13,True,True,0,0,0
2026-02-14,True,True,0,0,0
2026-02-15,True,True,0,0,0
2026-02-16,True,True,0,0,0
2026-02-17,True,True,0,0,0
2026-02-18,True,True,0,0,0
2026-02-19,True,True,0,0,0
2026-02-20,True,True,0,0,0
2026-02-21,True,True,0,0,0
2026-02-22,True,True,0,0,0
2026-02-23,True,True,264,0,264
2026-02-24,True,True,264,0,264
2026-02-25,True,True,264,0,264
2026-02-26,True,True,264,0,264
2026-02-27,True,True,0,0,0
2026-02-28,True,True,0,0,0
2026-03-01,True,True,0,0,0
2026-03-02,True,True,264,0,264
2026-03-03,True,True,264,0,264
2026-03-04,True,True,264,0,264
2026-03-05,True,True,264,0,264
2026-03-06,True,True,264,0,264
2026-03-07,True,True,0,0,0
2026-03-08,True,True,0,0,0
2026-03-09,True,True,264,0,264
2026-03-10,True,True,264,0,264
2026-03-11,True,True,263,0,263
2026-03-12,True,True,264,0,264
2026-03-13,True,True,264,0,264
2026-03-14,True,True,0,0,0
2026-03-15,True,True,0,0,0
2026-03-16,True,True,264,0,264
2026-03-17,True,True,264,0,264
2026-03-18,True,True,264,0,264
2026-03-19,True,True,264,0,264
2026-03-20,True,True,264,0,264
2026-03-21,True,True,0,0,0
2026-03-22,True,True,0,0,0
2026-03-23,True,True,264,0,264
2026-03-24,True,True,263,0,263
2026-03-25,True,True,264,0,264
2026-03-26,True,True,264,0,264
2026-03-27,True,True,264,0,264
2026-03-28,True,True,0,0,0
2026-03-29,True,True,0,0,0
2026-03-30,True,True,265,0,265
2026-03-31,True,True,265,0,265
2026-04-01,True,True,265,0,265
2026-04-02,True,True,265,0,265
2026-04-03,True,True,0,0,0
2026-04-04,True,True,0,0,0
2026-04-05,True,True,0,0,0
2026-04-06,True,True,0,0,0
2026-04-07,True,True,264,0,264
2026-04-08,True,True,263,0,263
2026-04-09,True,True,263,0,263
