engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret,capital_after_trade,cash_mode
A,2026-01-16,2026-01-19,1464,TWSE,11.85,0.06278026905829592,0.007810199056664941,0.0042194092827005925,0.11502520093657959,0.030194115245852145,0.00012740133015128,101152.98893828591,True
A,2026-01-16,2026-01-19,1475,TWSE,33.5,0.056782334384858135,0.008398146107231616,-0.020895522388059806,0.0813824017176102,0.021362880450872677,-0.0004463885467346552,101152.98893828591,True
A,2026-01-16,2026-01-19,1717,TWSE,67.3,0.3093385214007782,0.043665862698366566,0.04457652303120363,0.08934183601161431,0.02345223195304876,0.0010454189577882077,101152.98893828591,True
A,2026-01-16,2026-01-19,1783,TWSE,46.6,0.03901895206243022,0.005333935552242991,0.012875536480686733,0.0952634891154546,0.02500666589280683,0.000321974238963179,101152.98893828591,True
A,2026-01-16,2026-01-19,2104,TWSE,12.0,0.09589041095890427,0.011938289204049149,0.04166666666666674,0.11485160490342847,0.030148546287149972,0.0012561894286312512,101152.98893828591,True
A,2026-01-16,2026-01-19,2302,TWSE,19.1,0.07909604519774027,0.00876295158637486,0.0732984293193717,0.14503726013506643,0.03807228078545493,0.002790638382179941,101152.98893828591,True
A,2026-01-16,2026-01-19,2312,TWSE,33.7,0.47807017543859653,0.039052146336323916,0.05044510385756662,0.2667868600818114,0.07003155077147549,0.003532748851973531,101152.98893828591,True
A,2026-01-16,2026-01-19,2371,TWSE,38.85,0.2451923076923077,0.03404981605545254,0.03346203346203347,0.09231134709843504,0.024231728613339196,0.0008108429137024701,101152.98893828591,True
B,2026-01-16,2026-01-19,1464,TWSE,11.85,0.06278026905829592,0.007810199056664941,0.0042194092827005925,0.23951266288840528,0.020957358002735463,8.842767089762157e-05,101152.98893828591,True
B,2026-01-16,2026-01-19,1709,TWSE,17.25,0.020710059171597628,0.003954057249032164,-0.0028985507246377384,0.20086399685086692,0.017575599724450858,-5.094376731724987e-05,101152.98893828591,True
B,2026-01-16,2026-01-19,1783,TWSE,46.6,0.03901895206243022,0.005333935552242991,0.012875536480686733,0.2904532735372985,0.02541466143451362,0.0003272274004443824,101152.98893828591,True
B,2026-01-16,2026-01-19,2302,TWSE,19.1,0.07909604519774027,0.00876295158637486,0.0732984293193717,0.26917006672342914,0.023552380838300052,0.0017263525221790606,101152.98893828591,True
A,2026-01-19,2026-01-20,1528,TWSE,31.15,0.38752783964365256,0.04809098524886873,0.017656500802568198,0.10796324091126142,0.028340350739206124,0.0005003914255718571,100786.74908384543,True
A,2026-01-19,2026-01-20,1721,TWSE,22.05,0.4364820846905537,0.03895188661035573,-0.05442176870748294,0.20877250136967393,0.0548027816095394,-0.002982464305281053,100786.74908384543,True
A,2026-01-19,2026-01-20,1783,TWSE,47.2,0.040793825799338546,0.005659418172441597,-0.01588983050847459,0.0863858510880675,0.022676285910617714,-0.00036032233968142583,100786.74908384543,True
A,2026-01-19,2026-01-20,1789,TWSE,27.1,0.14587737843551807,0.017967213487841343,0.04243542435424352,0.10960032983614541,0.028770086581988166,0.0012208708328149953,100786.74908384543,True
A,2026-01-19,2026-01-20,2104,TWSE,12.5,0.10132158590308382,0.013928822438287684,-0.015999999999999903,0.08797769043744967,0.023094143739830535,-0.0003695062998372863,100786.74908384543,True
