signal_date,trade_date,market_rows,candidate_rows,selected_count,breadth,avg_mom_5d,gross_exposure,cash_mode,risk_on,daily_ret,holdings,nav,cum_return,drawdown
2026-01-09,2026-01-12,262,0,0,0,0.0,0.0,True,False,0.0,0,100000.0,0.0,0.0
2026-01-12,2026-01-13,263,0,0,0,0.0,0.0,True,False,0.0,0,100000.0,0.0,0.0
2026-01-13,2026-01-14,263,0,0,0,0.0,0.0,True,False,0.0,0,100000.0,0.0,0.0
2026-01-14,2026-01-15,263,0,0,0,0.0,0.0,True,False,0.0,0,100000.0,0.0,0.0
2026-01-15,2026-01-16,264,0,0,0,0.0,0.0,True,False,0.0,0,100000.0,0.0,0.0
2026-01-16,2026-01-19,263,231,12,179,0.04411151320785698,0.8,False,True,0.014624393211385955,12,101462.43932113859,0.014624393211385867,0.0
2026-01-19,2026-01-20,263,233,12,180,0.04896288300343799,0.8,False,True,-0.009645183331910303,12,100483.81549258338,0.0048381549258338374,-0.009645183331910334
2026-01-20,2026-01-21,263,233,12,156,0.0473100627524707,0.8,False,True,-0.024473210689470053,12,98024.65390515156,-0.019753460948484403,-0.03388234541755997
2026-01-21,2026-01-22,264,234,12,105,0.021911791975939607,0.35,True,False,-0.0029308240517894784,12,97737.360891818,-0.022626391081820074,-0.036713866276468665
2026-01-22,2026-01-23,264,235,12,108,0.017781291501803447,0.35,True,False,0.008779658774562842,12,98595.46156997446,-0.01404538430025537,-0.028256542720108135
2026-01-23,2026-01-26,262,232,12,95,0.005648470727706113,0.35,True,False,-0.00614448539982196,12,97989.64319586905,-0.020103568041309527,-0.03422740620573683
2026-01-26,2026-01-27,264,235,12,98,0.004452015688013209,0.35,True,False,0.005811318078536334,12,98559.09218088254,-0.014409078191174651,-0.028614994471665267
2026-01-27,2026-01-28,263,235,12,113,0.004816032917001954,0.35,True,False,-0.006604957869211274,12,97908.1135294001,-0.02091886470599902,-0.035030951507963426
2026-01-28,2026-01-29,263,234,12,140,0.01357049863637202,0.35,True,False,-0.012708045182656228,12,96663.89279891984,-0.03336107201080163,-0.047293821776065115
2026-01-29,2026-01-30,264,235,12,113,0.004288305563024532,0.35,True,False,-0.012369018568571763,12,95468.25531397958,-0.045317446860204225,-0.05907786218490996
2026-01-30,2026-02-02,263,234,12,78,-0.007527563142810229,0.35,True,False,-0.004334696360768235,12,95054.42941510119,-0.049455705848988174,-0.06315647395146318
2026-02-02,2026-02-03,263,233,12,42,-0.03893551656016409,0.35,True,False,-0.0004854035177821106,12,95008.28966068232,-0.04991710339317679,-0.06361122109461859
2026-02-03,2026-02-05,264,233,12,31,-0.03195560012342076,0.35,True,False,-0.012220203851699283,12,93847.26899342748,-0.061527310065725205,-0.07505408285728621
2026-02-05,2026-02-06,262,232,12,41,-0.031670544469923456,0.35,True,False,0.0024336542333200104,12,94075.66079689887,-0.059243392031011366,-0.07280308431043969
2026-02-06,2026-02-09,263,232,12,29,-0.040042685850172254,0.35,True,False,-0.0003767786010795387,12,94040.21510102818,-0.059597848989718205,-0.07315243226725843
2026-02-09,2026-02-10,261,232,12,57,-0.021684921795288036,0.35,True,False,-0.0008122263531039808,12,93963.83316007156,-0.06036166839928436,-0.07390524228708129
2026-02-10,2026-02-11,264,236,12,118,-0.0004063485664761074,0.35,True,False,0.009766675979431054,12,94881.5474723313,-0.05118452527668704,-0.06486037486224949
2026-02-11,2026-02-23,264,235,12,132,0.000921073184848033,0.35,True,False,0.010095534551794747,12,95839.42741316598,-0.041605725868340215,-0.05541964046591885
2026-02-23,2026-02-24,264,237,12,161,0.01379263602789283,0.35,True,False,0.0005254175038803541,12,95889.78312589071,-0.04110216874109285,-0.054923341411198257
2026-02-24,2026-02-25,264,234,12,189,0.035870093537634186,0.8,False,True,-0.004490358251928081,12,95459.20364695576,-0.04540796353044241,-0.059167074183797186
2026-02-25,2026-02-26,264,236,12,184,0.03565318248164204,0.8,False,True,0.009506211799289389,12,96366.65905501523,-0.03633340944984764,-0.05022331712324313
2026-02-26,2026-03-02,264,237,12,179,0.03787822844229573,0.8,False,True,-0.024670753891457203,12,93989.22092612699,-0.06010779073873007,-0.07365502391834022
2026-03-02,2026-03-03,264,235,12,159,0.029393603320381354,0.35,True,False,-0.02100469347370252,12,92015.00615074158,-0.07984993849258415,-0.09311261619183975
2026-03-03,2026-03-04,264,237,12,74,-0.0017284763920572671,0.35,True,False,0.005191427588751058,12,92492.69539225164,-0.07507304607748355,-0.08840457600764784
2026-03-04,2026-03-05,264,232,12,27,-0.044811739157424806,0.35,True,False,0.015068107551004812,12,93886.38527410442,-0.061136147258955775,-0.0746685581159271
2026-03-05,2026-03-06,264,233,12,27,-0.035038125710289546,0.35,True,False,-0.016440427651015076,12,92342.85294959019,-0.07657147050409807,-0.08988140273943157
2026-03-06,2026-03-09,264,235,12,43,-0.0276388229803226,0.35,True,False,-0.01562933624264066,12,90899.59545123632,-0.09100404548763674,-0.1041059523166975
