engine,signal_date,trade_date,exit_date,symbol,market,signal_close,mom_5d,mom_20d,std_5d,trade_close,exit_close,trade_ret,weight_engine,weight_portfolio,wret
A,2026-01-16,2026-01-19,2026-01-21,2239,TWSE,30.7,-0.08221225710014957,,0.03503915227386992,30.65,29.95,-0.022838499184339334,0.25,0.075,-0.00171288743882545
A,2026-01-16,2026-01-19,2026-01-21,1773,TWSE,159.5,-0.042042042042042094,,0.016388875028944254,160.5,155.0,-0.034267912772585674,0.25,0.075,-0.0025700934579439253
A,2026-01-16,2026-01-19,2026-01-21,1810,TWSE,19.5,-0.04176904176904184,,0.03220229892988585,20.4,20.3,-0.004901960784313597,0.25,0.075,-0.00036764705882351976
A,2026-01-16,2026-01-19,2026-01-21,2364,TWSE,65.3,-0.031157270029673723,,0.013059224162843384,65.8,64.9,-0.013677811550151797,0.25,0.075,-0.0010258358662613848
A,2026-01-19,2026-01-20,2026-01-22,1325,TWSE,29.05,-0.06891025641025639,,0.01814964845367209,28.8,29.05,0.00868055555555558,0.14285714285714285,0.04285714285714285,0.00037202380952381053
A,2026-01-19,2026-01-20,2026-01-22,2348,TWSE,78.7,-0.040243902439024315,,0.01725202168852906,78.1,78.4,0.003841229193342066,0.14285714285714285,0.04285714285714285,0.00016462410828608853
A,2026-01-19,2026-01-20,2026-01-22,1702,TWSE,37.7,-0.03949044585987249,,0.007065092081852543,37.65,37.85,0.005312084993359889,0.14285714285714285,0.04285714285714285,0.0002276607854297095
A,2026-01-19,2026-01-20,2026-01-22,1321,TWSE,33.3,-0.038961038961038974,,0.011391315695267554,33.85,33.6,-0.00738552437223039,0.14285714285714285,0.04285714285714285,-0.0003165224730955881
A,2026-01-19,2026-01-20,2026-01-22,1456,TWSE,12.95,-0.03717472118959109,,0.018288981194790544,12.95,12.95,0.0,0.14285714285714285,0.04285714285714285,0.0
A,2026-01-19,2026-01-20,2026-01-22,2236,TWSE,110.5,-0.03493449781659386,,0.023480471054951813,111.0,112.0,0.009009009009008917,0.14285714285714285,0.04285714285714285,0.0003861003861003821
A,2026-01-19,2026-01-20,2026-01-22,2402,TWSE,55.4,-0.03315881326352532,,0.024309183037814267,56.4,55.9,-0.00886524822695034,0.14285714285714285,0.04285714285714285,-0.00037993920972644306
A,2026-01-20,2026-01-21,2026-01-23,1598,TWSE,20.45,-0.05977011494252882,,0.02823262148480993,20.25,20.05,-0.00987654320987652,0.3333333333333333,0.09999999999999999,-0.000987654320987652
A,2026-01-20,2026-01-21,2026-01-23,1456,TWSE,12.95,-0.040740740740740744,,0.017792220675524554,13.15,13.1,-0.0038022813688213253,0.3333333333333333,0.09999999999999999,-0.0003802281368821325
A,2026-01-20,2026-01-21,2026-01-23,1325,TWSE,28.8,-0.03678929765886285,,0.00956002200696644,28.85,28.95,0.0034662045060658286,0.3333333333333333,0.09999999999999999,0.0003466204506065828
A,2026-01-21,2026-01-22,2026-01-26,2028,TWSE,17.9,-0.10050251256281406,,0.01852816409596077,17.85,18.4,0.03081232492997188,0.125,0.0375,0.0011554621848739455
A,2026-01-21,2026-01-22,2026-01-26,1598,TWSE,20.25,-0.09799554565701551,,0.014954758979881638,20.1,20.35,0.01243781094527363,0.125,0.0375,0.00046641791044776113
A,2026-01-21,2026-01-22,2026-01-26,1735,TWSE,17.25,-0.07999999999999996,,0.012684525743536046,17.1,16.8,-0.01754385964912286,0.125,0.0375,-0.0006578947368421073
A,2026-01-21,2026-01-22,2026-01-26,2349,TWSE,15.0,-0.07975460122699396,,0.0194763620355324,15.0,14.6,-0.026666666666666727,0.125,0.0375,-0.0010000000000000022
A,2026-01-21,2026-01-22,2026-01-26,1713,TWSE,48.9,-0.07210626185958258,,0.006611382813953792,49.1,49.2,0.0020366598778003286,0.125,0.0375,7.637474541751233e-05
A,2026-01-21,2026-01-22,2026-01-26,2317,TWSE,219.0,-0.06609808102345416,,0.012909100041099106,223.5,224.0,0.0022371364653244186,0.125,0.0375,8.38926174496657e-05
A,2026-01-21,2026-01-22,2026-01-26,1256,TWSE,157.0,-0.06268656716417909,,0.03201812351524376,157.0,158.0,0.006369426751592355,0.125,0.0375,0.00023885350318471332
A,2026-01-21,2026-01-22,2026-01-26,2348,TWSE,77.2,-0.0585365853658536,,0.005264863585677071,78.4,78.1,-0.003826530612245027,0.125,0.0375,-0.0001434948979591885
A,2026-01-22,2026-01-23,2026-01-27,1598,TWSE,20.1,-0.08219178082191769,,0.01569695902920582,20.05,20.25,0.009975062344139696,0.125,0.0375,0.0003740648379052386
A,2026-01-22,2026-01-23,2026-01-27,1735,TWSE,17.1,-0.07816711590296488,,0.012938159045636808,16.8,16.6,-0.011904761904761862,0.125,0.0375,-0.00044642857142856984
A,2026-01-22,2026-01-23,2026-01-27,2032,TWSE,15.9,-0.07558139534883712,,0.012472574916080769,16.2,16.35,0.0092592592592593,0.125,0.0375,0.00034722222222222375
A,2026-01-22,2026-01-23,2026-01-27,2025,TWSE,12.35,-0.07490636704119846,,0.041828488499855786,13.05,12.85,-0.01532567049808442,0.125,0.0375,-0.0005747126436781658
A,2026-01-22,2026-01-23,2026-01-27,2028,TWSE,17.85,-0.06544502617801051,,0.016145767577761427,18.25,18.2,-0.002739726027397249,0.125,0.0375,-0.00010273972602739683
A,2026-01-22,2026-01-23,2026-01-27,2314,TWSE,22.45,-0.06458333333333333,,0.024231692484939806,22.15,21.85,-0.013544018058690654,0.125,0.0375,-0.0005079006772008996
A,2026-01-22,2026-01-23,2026-01-27,2349,TWSE,15.0,-0.0625,,0.020688145645828195,14.6,14.2,-0.0273972602739726,0.125,0.0375,-0.0010273972602739725
A,2026-01-22,2026-01-23,2026-01-27,2038,TWSE,14.75,-0.060509554140127375,,0.013134304658912799,14.9,14.85,-0.003355704697986628,0.125,0.0375,-0.00012583892617449853
A,2026-01-23,2026-01-26,2026-01-28,1721,TWSE,18.5,-0.1019417475728156,,0.05266543839898034,19.7,19.0,-0.035532994923857864,0.125,0.0375,-0.0013324873096446698
A,2026-01-23,2026-01-26,2026-01-28,2349,TWSE,14.6,-0.09876543209876543,,0.015564945976258482,14.6,14.15,-0.03082191780821908,0.125,0.0375,-0.0011558219178082155
A,2026-01-23,2026-01-26,2026-01-28,2241,TWSE,34.0,-0.08602150537634412,,0.012423381239801103,33.55,32.7,-0.025335320417287477,0.125,0.0375,-0.0009500745156482803
A,2026-01-23,2026-01-26,2026-01-28,1339,TWSE,43.5,-0.06451612903225812,,0.009503049760212726,43.8,44.0,0.004566210045662267,0.125,0.0375,0.000171232876712335
A,2026-01-23,2026-01-26,2026-01-28,1735,TWSE,16.8,-0.06406685236768794,,0.009530394715092936,16.8,16.35,-0.02678571428571419,0.125,0.0375,-0.0010044642857142821
A,2026-01-23,2026-01-26,2026-01-28,1587,TWSE,50.8,-0.060998151571164616,,0.03283042595135139,51.2,49.4,-0.03515625000000011,0.125,0.0375,-0.0013183593750000042
A,2026-01-23,2026-01-26,2026-01-28,2317,TWSE,221.5,-0.05543710021321957,,0.018832103545276518,224.0,225.5,0.006696428571428603,0.125,0.0375,0.0002511160714285726
A,2026-01-23,2026-01-26,2026-01-28,1435,TWSE,20.5,-0.055299539170506895,,0.03277530401069511,21.8,21.8,0.0,0.125,0.0375,0.0
A,2026-01-26,2026-01-27,2026-01-29,2312,TWSE,27.1,-0.23446327683615809,,0.04458241052852408,26.15,27.45,0.0497131931166348,0.125,0.0375,0.001864244741873805
A,2026-01-26,2026-01-27,2026-01-29,1717,TWSE,62.9,-0.10526315789473684,,0.027092420084458623,61.2,62.5,0.0212418300653594,0.125,0.0375,0.0007965686274509776
A,2026-01-26,2026-01-27,2026-01-29,2241,TWSE,33.55,-0.10053619302949057,,0.006496010882250035,33.55,32.45,-0.032786885245901454,0.125,0.0375,-0.0012295081967213044
A,2026-01-26,2026-01-27,2026-01-29,1568,TWSE,24.45,-0.08768656716417911,,0.008718768973690165,24.3,23.95,-0.01440329218107006,0.125,0.0375,-0.0005401234567901272
A,2026-01-26,2026-01-27,2026-01-29,2349,TWSE,14.6,-0.08750000000000002,,0.017971876692380616,14.2,13.85,-0.02464788732394363,0.125,0.0375,-0.0009242957746478861
A,2026-01-26,2026-01-27,2026-01-29,1506,TWSE,12.5,-0.0808823529411764,,0.021541094287438348,12.75,12.6,-0.01176470588235301,0.125,0.0375,-0.00044117647058823786
A,2026-01-26,2026-01-27,2026-01-29,1539,TWSE,19.85,-0.0788863109048723,,0.020588696988173803,19.5,18.75,-0.038461538461538436,0.125,0.0375,-0.0014423076923076913
A,2026-01-26,2026-01-27,2026-01-29,1528,TWSE,28.85,-0.07383627608346699,,0.04514465881679566,28.15,27.6,-0.019538188277086976,0.125,0.0375,-0.0007326820603907616
A,2026-01-27,2026-01-28,2026-01-30,2312,TWSE,26.15,-0.251788268955651,,0.04071356443440593,25.6,26.35,0.029296875,0.125,0.0375,0.0010986328125
A,2026-01-27,2026-01-28,2026-01-30,1717,TWSE,61.2,-0.1244635193133048,,0.02557854804241922,67.3,61.7,-0.08320950965824658,0.125,0.0375,-0.0031203566121842468
A,2026-01-27,2026-01-28,2026-01-30,1541,TWSE,26.05,-0.11243611584327085,,0.025165487932397774,25.8,25.1,-0.02713178294573637,0.125,0.0375,-0.0010174418604651139
A,2026-01-27,2026-01-28,2026-01-30,1528,TWSE,28.15,-0.11198738170347,,0.041446850421830266,29.5,27.85,-0.055932203389830515,0.125,0.0375,-0.0020974576271186444
A,2026-01-27,2026-01-28,2026-01-30,2329,TWSE,62.7,-0.10300429184549365,,0.044010004655958716,61.8,58.1,-0.0598705501618122,0.125,0.0375,-0.0022451456310679575
A,2026-01-27,2026-01-28,2026-01-30,1587,TWSE,49.75,-0.09380692167577409,,0.02625977406221475,49.4,46.15,-0.06578947368421051,0.125,0.0375,-0.002467105263157894
